n_points,autoSearchAlgorithm,rbcSearchAlgorithm,ivfflatSearchAlgorithm,knn_query_pointopsv1,knn_query_pointopsv2
500000,0.8314244900000176,0.8208991230000038,0.4551518220000048,0.40990230699998165,0.4222946200000024
1000000,2.3212765510000395,2.375094353999998,1.7118446160000076,1.453128405999962,1.396324791999973
1500000,4.346208348000005,4.487665826000011,3.830615270999999,3.281343411000023,3.2118685639999853
2000000,6.953424541000004,6.986771834000024,6.8272272579999935,5.683300777999989,5.743772609999951
2500000,12.739626627000007,12.829067459999976,10.49429999900002,8.618745186000012,8.732302587999982
3000000,22.301473777000012,22.156786292999982,15.492060233000075,12.601177917999962,12.441206618000024
3500000,32.354529538000065,33.16198040900008,21.67118867099998,17.00418028699994,16.772086703000014
4000000,43.59861000400008,43.62851241999999,30.442258887000094,22.21068785600005,21.984370556000044
4500000,55.38438076200009,55.12660817799997,45.02503132100014,28.15641310000001,27.747124461999874
5000000,75.28910705199996,75.11771635900004,52.144744458000105,34.757666582000184,34.43709932999991
5500000,112.82325356899992,112.25683846700008,65.1197669390001,42.04077366499996,41.79400262100012
